"","hydro","bio","Condition"
"98",1,0.25363094,0
"203",-8,0.27648349,0
"37",0.5,0.35582777,0
"61",-2,0.38120784,0
"201",-5,0.43670957,0
"99",1,0.43914537,0
"199",-2.5,0.45004569,0
"200",7.5,0.49038395,0
"195",-4,0.50203231,0
"221",0,0.51004389,0
"35",0,0.51029031,0
"255",-9,0.51139814,0
"175",0,0.51458513,0
"300",1,0.52626722,0
"348",-31,0.53897512,0
"302",-4.5,0.54564553,0
"386",0,0.554811,0
"205",2,0.55965967,0
"310",10,0.56092371,0
"80",7,0.56885714,0
"236",-19,0.57818974,0
"102",1.5,0.5790054,0
"307",2,0.58432304,0
"274",-8,0.5851857,0
"241",1,0.59625569,0
"222",1,0.60137346,0
"73",7,0.60426322,0
"100",0,0.60665192,0
"384",-3.5,0.6069942,0
"192",0,0.61035666,0
"289",-6,0.61364804,0
"39",0,0.61555212,0
"359",-4,0.64431266,0
"212",-1,0.64702057,0
"174",-1,0.65446951,0
"357",6.5,0.65661897,0
"202",1,0.65998032,0
"101",-15.5,0.6601853,0
"248",0,0.66341859,0
"135",2,0.66378652,0
"15",0,0.66768291,0
"249",0,0.66822034,0
"38",0,0.66845129,0
"132",0,0.67093594,0
"380",8,0.67651281,0
"256",0,0.67868323,0
"220",-5,0.68284466,0
"235",-3.5,0.69219839,0
"240",-1.5,0.69224343,0
"233",1,0.70290087,0
"149",0,0.70484419,0
"53",0,0.71636204,0
"228",-9,0.72245968,0
"371",0.5,0.73285566,0
"317",1,0.7510035,0
"103",-6,0.75573503,0
"213",0,0.76260127,0
"292",-2,0.76741067,0
"265",1,0.77588195,0
"197",0,0.77938373,0
"209",-5,0.78378935,0
"349",7,0.80710135,1
"185",1,0.81475321,1
"247",1,0.82145675,1
"28",-5,0.82832065,1
"287",0,0.83544561,1
"342",0,0.8365546,1
"230",1,0.84277761,1
"17",-5,0.85018692,1
"284",0,0.85521151,1
"328",-5,0.85564589,1
"218",1,0.86731796,1
"5",0,0.87864121,1
"181",2.5,0.87929304,1
"278",0,0.8815387,1
"305",0,0.88288755,1
"105",-0.5,0.88518212,1
"128",0,0.89250403,1
"353",0,0.90150652,1
"25",-1,0.90286736,1
"304",-1.5,0.90650611,1
"19",-31,0.91064,1
"208",-3.5,0.91430341,1
"191",-4,0.91978621,1
"24",1,0.92141272,1
"271",-7,0.92244845,1
"298",-1,0.92962258,1
"43",1,0.93616124,1
"251",1,0.9364029,1
"225",0,0.94167603,1
"137",0,0.94997187,1
"129",2,0.95649537,1
"330",0.5,0.9686956,1
"156",0,0.97304935,1
"186",1,0.97853209,1
"176",0,0.98080398,1
"45",-2.5,0.98662198,1
"124",-1,0.99779787,1
"214",0,0.99823018,1
"207",0,1.00026591,1
"46",0,1.00177025,1
"297",0,1.0031734,1
"33",0,1.01059794,1
"345",0,1.01627269,1
"204",0,1.01782875,1
"312",0,1.01788844,1
"40",0,1.02242257,1
"144",0,1.03004025,1
"22",2,1.04279807,1
"167",0,1.05482853,1
"276",0,1.07245343,1
"32",0,1.07551273,1
"198",-9,1.08557851,1
"177",1,1.0860095,1
"148",-1,1.08652166,1
"147",0,1.09853885,1
"319",0,1.10368672,1
"41",0,1.11820526,1
"34",-5,1.12014835,1
"52",-5,1.14948621,1
"116",0,1.17880233,1
"87",-1,1.18450635,1
"125",0,1.1904579,1
"211",-0.5,1.19354708,1
"159",-1,1.20608577,1
"14",0,1.21595066,1
"50",0,1.24029364,1
